                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.35918,                0.38338,                0.82191,                0.99645,                0.99383,                0.99492,                0.96257,                0.14887,                0.09496,                0.75784,              0.0090925,              0.0090925,              0.0090925
                     58,                0.35777,                0.38284,                 0.8215,                0.99644,                0.99491,                0.99484,                0.96242,                0.14797,                0.09506,                0.75771,               0.009076,               0.009076,               0.009076
                     59,                0.35853,                0.38016,                0.82231,                0.99652,                0.99466,                0.99489,                0.96306,                0.14743,                0.09388,                0.75755,              0.0090595,              0.0090595,              0.0090595
                     60,                0.34696,                0.35262,                0.81837,                0.99608,                0.99514,                0.99488,                0.96336,                0.14677,                0.09345,                0.75749,               0.009043,               0.009043,               0.009043
                     61,                0.35025,                0.36638,                0.82011,                0.99703,                0.99497,                0.99487,                0.96333,                0.14624,                0.09206,                0.75711,              0.0090265,              0.0090265,              0.0090265
                     62,                0.35031,                0.36731,                0.82049,                0.99789,                0.99373,                0.99488,                0.96333,                0.14631,                0.09175,                 0.7573,                0.00901,                0.00901,                0.00901
                     63,                0.35163,                0.36786,                0.82027,                0.99617,                0.99556,                 0.9949,                0.96342,                0.14629,                0.09161,                 0.7574,              0.0089935,              0.0089935,              0.0089935
                     64,                0.35223,                0.36428,                0.81927,                0.99585,                0.99567,                0.99492,                0.96375,                0.14603,                0.09215,                0.75737,               0.008977,               0.008977,               0.008977
                     65,                0.35095,                0.36561,                0.81954,                 0.9965,                0.99516,                0.99495,                0.96386,                0.14598,                0.09151,                0.75729,              0.0089605,              0.0089605,              0.0089605
                     66,                0.35086,                0.36126,                0.81969,                0.99647,                0.99552,                0.99496,                0.96402,                0.14574,                0.09083,                0.75715,               0.008944,               0.008944,               0.008944
                     67,                0.35005,                  0.364,                0.81976,                0.99673,                0.99536,                0.99497,                0.96418,                0.14532,                0.09063,                0.75708,              0.0089275,              0.0089275,              0.0089275
                     68,                0.35226,                 0.3664,                0.81989,                0.99642,                 0.9956,                0.99497,                0.96401,                0.14507,                0.09055,                0.75696,               0.008911,               0.008911,               0.008911
