                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.33103,                0.29629,                0.81372,                 0.9931,                0.99325,                0.99454,                0.96062,                0.14804,                0.09717,                0.75609,               0.007822,               0.007822,               0.007822
                     69,                0.34875,                0.34154,                0.81959,                0.99404,                0.99268,                0.99445,                  0.961,                0.14765,                0.09716,                0.75607,               0.007789,               0.007789,               0.007789
                     70,                0.34549,                0.34128,                0.81902,                0.99368,                0.99327,                0.99448,                 0.9604,                0.14751,                0.09655,                0.75603,               0.007756,               0.007756,               0.007756
                     71,                 0.3464,                0.34381,                0.81946,                0.99425,                0.99315,                 0.9945,                0.96037,                0.14737,                0.09739,                0.75593,               0.007723,               0.007723,               0.007723
                     72,                 0.3489,                0.34395,                0.82044,                0.99481,                0.99215,                 0.9945,                0.96056,                0.14734,                0.09685,                0.75589,                0.00769,                0.00769,                0.00769
                     73,                0.34795,                 0.3396,                0.81894,                0.99428,                0.99259,                0.99443,                0.96043,                0.14687,                0.09638,                0.75569,               0.007657,               0.007657,               0.007657
                     74,                0.34473,                0.33863,                0.81888,                0.99198,                0.99432,                0.99443,                 0.9608,                0.14647,                0.09541,                0.75566,               0.007624,               0.007624,               0.007624
                     75,                0.34642,                0.33849,                 0.8186,                0.99228,                0.99413,                0.99444,                0.96083,                0.14614,                0.09518,                0.75541,               0.007591,               0.007591,               0.007591
                     76,                0.34579,                 0.3373,                0.82054,                0.99317,                0.99383,                0.99447,                 0.9611,                0.14597,                0.09556,                0.75545,               0.007558,               0.007558,               0.007558
                     77,                0.34642,                0.33718,                0.81815,                 0.9934,                0.99292,                0.99452,                0.96124,                0.14601,                0.09486,                0.75552,               0.007525,               0.007525,               0.007525
                     78,                0.34332,                0.33265,                0.81888,                0.99467,                0.99176,                0.99452,                0.96141,                0.14578,                0.09452,                0.75561,               0.007492,               0.007492,               0.007492
                     79,                0.34412,                 0.3332,                0.81849,                0.99502,                 0.9918,                0.99448,                0.96156,                0.14586,                0.09466,                0.75562,               0.007459,               0.007459,               0.007459
                     80,                0.34473,                0.33238,                0.81774,                0.99526,                0.99168,                0.99448,                0.96138,                0.14587,                0.09512,                0.75563,               0.007426,               0.007426,               0.007426
                     81,                0.34647,                0.33705,                 0.8183,                0.99499,                0.99166,                 0.9945,                0.96173,                0.14578,                0.09485,                0.75562,               0.007393,               0.007393,               0.007393
                     82,                0.34828,                0.34604,                0.81962,                0.99407,                0.99263,                0.99446,                0.96183,                0.14547,                0.09417,                0.75549,                0.00736,                0.00736,                0.00736
                     83,                0.35137,                0.34993,                0.81996,                0.99467,                0.99257,                0.99445,                0.96175,                0.14529,                0.09426,                0.75539,               0.007327,               0.007327,               0.007327
